Product Name,Product Link
Acer A315 i5/4GB/1TB/2GB Graphics,https://kajidigital.com/product/acer-a315-i5-4gb-1tb-2gb-graphics/
Acer A315 i5/4GB/1TB/Intel Graphics,https://kajidigital.com/product/acer-a315-i5-4gb-1tb-intel-graphics/
Acer A315-CDC,https://kajidigital.com/product/acer-a315-cdc/
Acer Helios Predator 300 (2019)/ i7-9750H/ 144Hz Screen,https://kajidigital.com/product/acer-helios-predator-300-2019/
Acer Nitro 7 i7/8GB/512GB/1650 4GB/9th gen,https://kajidigital.com/product/acer-nitro-7-i7-8gb-512gb-1650-4gb-9th-gen/
ASUS ROG STRIX-G531GT i7/8GB/512GB/1650,https://kajidigital.com/product/asus-rog-strix-g531gt/
DELL 3493 i5/4GB/1TB/2GB Gr/10th gen,https://kajidigital.com/product/dell-3493-i5-4gb-1tb-2gb-gr-10th-gen/
DELL 3580 i7/8GB/1TB/2GB Gr/8th gen,https://kajidigital.com/product/dell-3580-i7-8gb-1tb-2gb-gr-8th-gen/
DELL 3593-15/4GB/1TB/2GB Gr/10th Gen,https://kajidigital.com/product/dell-3593-15-4gb-1tb-2gb-gr-10th-gen/
DELL 7370-i5/8GB/256GB SSD/8th gen,https://kajidigital.com/product/dell-7370-i5-8gb-256gb-ssd-8th-gen/
Dell G3 – i5/8GB/512GB/GTX 1660Ti,https://kajidigital.com/product/dell-g3-i5-8gb-512gb-gtx-1660ti/
Dell G7 15 Gaming Laptop,https://kajidigital.com/product/dell-g7-15-gaming-laptop/
DELL G7-17/16GB/256GB/1TB/RTX 2060 6GB,https://kajidigital.com/product/dell-g7-17-16gb-256gb-1tb-rtx-2060-6gb/
DELL Inspiron 11 3185 AMD A9-9420E 116″ 2-In-1 Laptop,https://kajidigital.com/product/dell-inspiron-11-3185-amd-a9-9420e-116%e2%80%b3-2-in-1-laptop/
Dell XPS 9380 – i7/8GB/256GB SSD/13.3″/W10,https://kajidigital.com/product/dell-xps-9380-i7-8gb-256gb-ssd-13-3-w10/
HP OMEN (2019)/ i7-9750H/ 144Hz/ RGB Keyboard,https://kajidigital.com/product/hp-omen/
HP Omen 15-t – i7/16GB/256GB/1660Ti/144hz,https://kajidigital.com/product/hp-omen-15-t-i7-16gb-256gb-1660ti-144hz/
Lenovo Legion Y540 – i7/16GB/512GB/1660ti,https://kajidigital.com/product/lenovo-legion-y540-i7-16gb-512gb-1660ti/
Lenovo Legion Y740-i7/16GB/256GB/RTX 2060,https://kajidigital.com/product/lenovo-legion-y740-i7-16gb-256gb-rtx-2060/
LENOVO YOGA 720-i7/8GB/512GB SSD/360/TOUCH,https://kajidigital.com/product/lenovo-yoga-720-i7-8gb-512gb-ssd-360-touch/
MSI GF63 i7/8GB/512GB/4GB Gr/9th gen,https://kajidigital.com/product/msi-gf63-i7-8gb-512gb-4gb-gr-9th-gen/
MSI GL Series GL65 9SC-004 15.6″,https://kajidigital.com/product/msi-gl-series-gl65-9sc-004-15-6-intel-core-i5-9th-gen-9300h-2-40-ghz-nvidia-geforce-gtx-1650-8-gb-memory-512-gb-nvme-ssd-windows-10-home-64-bit-gaming-laptop/
